Country Name;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Aruba;88.19797;93.18612;95.58824;95.13303;96.24258;94.7861;;;96.57064;101.18056;
Afghanistan;;;;;;;;;;;
Angola;;;;39.19701;38.78758;39.80721;46.18715;;;;
Albania;;;96.19241;92.39359;91.05149;88.83624;92.98266;98.67213;89.53918;100.98472;98.86159
Andorra;;;;;;;;;;;
Arab World;82.69515;80.90485;82.70838;84.57465;82.8911;84.36583;85.17569;87.03526;85.06061;85.99188;85.61407
United Arab Emirates;;;97.45089;;;;;93.94156;95.68699;99.14915;103.5202
Argentina;94.64183;97.10248;99.86782;103.14217;103.30387;103.56741;103.88771;103.35225;101.64501;103.10644;102.97374
Armenia;92.69158;93.81121;102.06971;105.79289;;94.49523;93.80897;93.85169;;96.65223;94.59064
American Samoa;;;;;;;;;;;
Antigua and Barbuda;;;;110.5548;101.2633;106.60995;103.67695;;;111.15032;92.55548
Australia;;;;;;;;;;;
Austria;;;;;;;96.77202;96.69372;97.60601;98.69185;100.37379
Azerbaijan;93.43062;91.60543;98.13037;90.73683;91.77172;89.51445;92.80683;91.99119;88.08941;98.12571;103.28021
Burundi;33.94643;;38.66096;41.65349;48.35906;51.54842;56.37577;62.99792;70.71984;69.56656;64.53968
Belgium;;;;;;;;;;;
Benin;;;;63.6705;;66.71161;71.68802;73.04108;78.6056;79.4544;81.14033
Burkina Faso;31.73658;32.80562;34.97427;38.86926;43.91451;47.05522;;57.36603;62.34405;60.8495;62.0298
Bangladesh;66.32055;;;59.02299;65.45804;67.83219;;;;;
Bulgaria;98.65926;99.35086;101.33284;95.15365;101.7044;113.33956;110.20104;101.81056;98.95879;97.95254;96.19129
Bahrain;101.62845;;;;;;89.47138;93.22642;94.48237;96.64722;98.74027
Bahamas, The;101.86549;95.83603;96.38708;92.28225;90.46501;82.40611;89.73962;89.3228;79.21593;80.06567;85.2287
Bosnia and Herzegovina;;;;;;;;;;;
Belarus;98.86845;97.65107;96.30975;99.11292;105.84522;106.97272;107.90568;104.07646;100.26494;98.66791;96.76221
